FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,ecity_nam,x,y
302,219f1cbe-08be-49cf-a16e-982e4a6b51da,5138,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Echiaba,EBSUGB05,Ebonyi,11004,Ebonyi,EB,GRID,Unity Fm Electricity Substation Amike Aba Abakaliki,8.0994000003098,6.34845499979843
303,c6e048be-4a35-423c-8186-ab8ba42dc71f,5137,2/2/2018 12:00:00 AM,racheal.olarewaju, ,New Layout,EBSUGB16,Ebonyi,11004,Ebonyi,EB,GRID,Mr Emmanuel Transformer,8.11124166686949,6.33712833270641
304,0017bbf2-c03f-47c3-a2d5-e12d49303509,5136,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kpiri-Kpiri,EBSUGB10,Ebonyi,11004,Ebonyi,EB,GRID,Mr Ignatius Transformer,8.0995999996403,6.3418150002621
305,84252351-04e6-4f4d-8549-a246b2b0731d,5135,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obioha,EBSBZR11,Ohaozara,11011,Ebonyi,EB,GRID,Amenuagu,7.82484499979694,6.01951666686074
306,788920c7-3629-4ffb-8ca7-1d0f46bf70ac,5134,2/2/2018 12:00:00 AM,racheal.olarewaju, ,New Layout,EBSUGB16,Ebonyi,11004,Ebonyi,EB,GRID,Omege Transformer,8.10908833286032,6.33973333322677
307,33f629eb-c8af-4f42-b10b-9e19ce4084a2,5133,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Agbaja,EBSAKL02,Abakaliki,11001,Ebonyi,EB,GRID,Transformer Ndagbo,8.10302666664739,6.31000166724317
308,c3d98319-3db8-40ea-bcbe-b0404ae4da06,5131,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Amangwu,EBSEDA02,Afikpo South,11003,Ebonyi,EB,GRID,Amangwu Transformer,7.86278500022763,5.8435416672142
309,0d67edc9-c924-444a-b8c5-4b54a7295d75,5130,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Echiaba,EBSUGB05,Ebonyi,11004,Ebonyi,EB,GRID,Abakaliki Power House Mile 50,8.08604833336392,6.34417999960732
310,7e48eea9-f61b-4b00-8df3-9d2eb67481b3,5129,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekpaomaka,EBSCHR07,Ikwo,11007,Ebonyi,EB,GRID,Transformer,8.16039170041671,6.07733670002875
311,8bc3ca8d-85f3-4000-ad52-69ae1e777e49,5128,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Izo 1 / Izo 2,EBSZLL12,Ishielu,11008,Ebonyi,EB,GRID,Transformer,7.76594166667462,6.38347000024038
