FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,fctry_st_s,source,fctry_st_n,x,y
1,d04a9673-b588-4bc1-982d-146ddb2999ae,36567,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Irolu,OGSIKE08,Ikenne,28012,Ogun,OG,In Use,GRID,Gods Will Technical Construction Limited,3.64888666718599,6.95169999985518
2,d76f93b3-cad4-450a-9b1b-0146893a9b4c,36568,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iloro / Efon 9,EKSEFO07,Efon,13002,Ekiti,EK,In Use,GRID,Gaari Processing Factory,4.95027833307864,7.72668666675634
3,dd662767-2abb-4d6a-80e4-5df877a6135a,36569,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iloro / Efon 9,EKSEFO07,Efon,13002,Ekiti,EK,In Use,GRID,Isaac Omoniyi Wooding Works,4.92521833305966,7.69826833291728
4,bd118636-051a-402c-88cd-b631c1bb89ae,36570,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Nulec Company,3.62606645660173,6.8577625898717
5,cf403baf-4ca9-4d49-b37a-9ff5ade4a175,36571,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Temitope Biscuit,3.62588833327999,6.85805499993836
6,dd597fd5-4189-4aff-9ede-ec8bacc4e7e8,36572,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Ibunkun Oluwa Blocks Industry,3.61923333305191,6.85815833294077
7,6bb8a57d-fcb5-4510-bf67-6a46cd3e4646,36573,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Omo Oba Block Industry,3.61663666744829,6.8350900003033
8,38668703-3c53-4ec8-be79-5fe6105111e7,36574,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,In Use,GRID,Mechanic Village,3.62546499990987,6.82303666660891
9,a8dfd710-2aca-4987-bd08-5ac09c1553b3,36575,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ayegbami,OGSSAU04,Shagamu,28020,Ogun,OG,In Use,GRID,Al Wadud Block Industry Along Ode Lemo Road Ibelefun,3.64314500044145,6.8066083326085
10,168e0b5b-ee6f-41e9-af49-fc93900c2eec,36576,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,In Use,GRID,Ayomide Block Industry,3.64082166668663,6.81105666723147
11,06fe450d-64a6-4906-975b-05bf7e5fa7b3,36577,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ayegbami,OGSSAU04,Shagamu,28020,Ogun,OG,In Use,GRID,Block Industry Along Ode Lemo Road Ibelefun Sabo,3.64096666707809,6.81178999960883
12,2b2bae44-58d7-4994-b78a-516567a94540,36578,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ayegbami,OGSSAU04,Shagamu,28020,Ogun,OG,In Use,GRID,Block Industry Along Oriya Atoyo Road,3.64066999962085,6.81420166657369
13,4a686f2a-0475-47db-bd83-fca2749f156a,36579,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,In Use,GRID,Lafarge Africa Plc,3.61964333307338,6.81929500036404
14,6060ffcd-9706-4016-86db-a3a44cee2554,36580,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odelemo,OGSSAU11,Shagamu,28020,Ogun,OG,In Use,GRID,Block Industry,3.61859499965954,6.81878999955887
15,638df429-0b10-41e5-a221-034abfd97e20,36581,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Gra Sabo,OGSSAU06,Shagamu,28020,Ogun,OG,In Use,GRID,Ola Sheu Block Industry,3.65772333276567,6.81088666658644
16,f0cfe2f2-73c4-4375-b75a-ecf8fba4412e,36582,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Gra Sabo,OGSSAU06,Shagamu,28020,Ogun,OG,In Use,GRID,Iyaniwura Block Industry,3.65781833264998,6.81237166671912
17,2abe4c9e-fab3-4c6d-bf01-4c968c6bd2b2,36583,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Soyindo / Oko / Epe / Itula 1,OGSSAU15,Shagamu,28020,Ogun,OG,In Use,GRID,Prince Ogunnowo Block Industry,3.63413500042998,6.86537833314361
18,7b33264c-f422-4225-85a0-579494cffa00,36584,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Soyindo / Oko / Epe / Itula 1,OGSSAU15,Shagamu,28020,Ogun,OG,In Use,GRID,Block Industry 6,3.631686667206,6.86404333273367
19,93cdc70c-f2ce-4a20-8d04-34c9522383eb,36585,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Welly Willy Block Industry,3.6241899995689,6.85272499965907
20,21c757e6-6c42-4a37-8532-b55032822e6d,36586,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Solak Brick And Concrete Block Industry,3.62449333280114,6.85211000007649
21,d296dda3-584e-49f8-88d8-ff2257599009,36587,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Ireoluwa Blockconcrete Work,3.63021166663515,6.84879500008924
22,50e4c4c0-9f61-4cf8-830a-d0d5d2b71bc5,36588,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Gra Sabo,OGSSAU06,Shagamu,28020,Ogun,OG,In Use,GRID,Bayus Block Indus Try,3.658273332948,6.82343499972552
23,9e32bb5b-ea74-466c-b002-875124d54114,36589,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Gra Sabo,OGSSAU06,Shagamu,28020,Ogun,OG,In Use,GRID,Royal Concrete Block Industry,3.65488333309941,6.82582833311113
24,a8019471-d255-4bce-b8ae-9c0184ac0807,36590,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Olayemi Block Industry,3.62947666691468,6.84616833310213
25,b57130ae-068f-4081-844a-ba4edd60fe3b,36591,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Gra Sabo,OGSSAU06,Shagamu,28020,Ogun,OG,In Use,GRID,Opelobade Block Industry,3.65608833291026,6.81626666737287
26,e22dbe64-bb06-40f1-bfd0-19750fa2d91a,36592,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Gra Sabo,OGSSAU06,Shagamu,28020,Ogun,OG,In Use,GRID,Block Industry 5,3.65524666729988,6.81545000021737
27,64a348cc-2e68-4931-b21d-a605063ff58d,36593,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itunsoku,OGSSAU09,Shagamu,28020,Ogun,OG,In Use,GRID,Dejay Block Industry,3.62979333259625,6.84690833305319
28,3ae783bb-3c6c-4e81-968d-ac3a9275f014,36594,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ilisan 1,OGSIKE03,Ikenne,28012,Ogun,OG,In Use,GRID,Fesoglass,3.66785999983915,6.93111500025708
29,dbb33e81-d8b0-44e3-a484-8a8d5b8c6fb8,36595,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ilisan 1,OGSIKE03,Ikenne,28012,Ogun,OG,In Use,GRID,Alhaja Oluwakemi Bakery,3.66723666713852,6.92865833301573
30,6d198753-3c4c-4e88-a074-ae5a4b103434,36596,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ogere 2,OGSIKE10,Ikenne,28012,Ogun,OG,In Use,GRID,Sawmill,3.70364666716,6.87698166677058
31,cc9c125c-2e76-4583-93e1-c71801555ab2,36597,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ilisan 2,OGSIKE04,Ikenne,28012,Ogun,OG,In Use,GRID,Sunny Adex Block Industry,3.70330833321304,6.88209333324079
32,d8952bcf-3def-4a5a-ae06-d03c5c992718,36598,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iperu 1,OGSIKE05,Ikenne,28012,Ogun,OG,In Use,GRID,Osiphy Water Production,3.67428166736511,6.90990666705909
33,3bce1717-df67-49fb-850e-6315b375d363,36599,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Irolu,OGSIKE08,Ikenne,28012,Ogun,OG,In Use,GRID,Toll Gate Wood Factory,3.64578499987789,6.94296166704737
34,4b16a7de-fe6c-4995-85da-bda2ddaf4622,36600,5/13/2020 12:00:00 AM,tosin.williams, ,Simawa,OGSSAU14,Shagamu,28020,Ogun,OG,Unused Poor,GRID,Ayerode Block Industry,3.53335999996409,6.81060333337717
35,b5f439d0-2c89-4b55-9ac0-262459ec3ee9,36601,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ogi / Ada 2,OSSBOE07,Boripe,30006,Osun,OS,In Use,GRID,Surveyor Ola Olaoluwa Gari And Crusser Industry,4.71062833333099,7.8921350002301
36,ba5c9bf7-7033-40f5-bd93-d15ee4a44016,36602,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oba / Ojomo,OSSODN09,Odo Otin,30025,Osun,OS,In Use,GRID,Ademec Block Industry Ekusa Road Oke Odo Inisa,4.64793666724347,7.98754499970204
37,1361e0fb-950d-4eba-ba54-b192f62a3b95,36603,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oba / Ojomo,OSSODN09,Odo Otin,30025,Osun,OS,In Use,GRID,Alhaji Sa Owoseni and Son Block Industry Oke Odo,4.64910833278338,7.98730000009499
38,3898f73c-dadf-492a-9c18-0ac24a9f6eb4,36604,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke-Run,OSSBOLUW10,Boluwaduro,30005,Osun,OS,In Use,GRID,Pet Yem Oil And Gas Ltd Ikirun Ila Road Otan Ayegbaju,4.76774166664467,7.94299333287609
39,b635abcc-c873-4a05-9cb3-fd9ab7a872bc,36605,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Asi / Asaba,OSSODN01,Odo Otin,30025,Osun,OS,In Use,GRID,Palm Oil Factory Eran Kere Road,4.77837333316285,8.03288833342987
40,14a2cfa7-8be8-42e2-ac7d-ed95887a1331,36606,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oosa Adifa,OSSISO10,Isokan,30022,Osun,OS,In Use,GRID,Palm Oil Factory G,4.20257166694893,7.26597166725867
41,f81ab43b-9e00-439b-857c-471a781887a4,36607,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ejigbo 1,OSSILA08,Ila,30017,Osun,OS,In Use,GRID,Baba Oyinbo Block Industry,4.88560500007077,8.00781166717474
42,e9bd3550-562b-4171-8f6a-351272e46463,36608,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ejigbo 1,OSSILA08,Ila,30017,Osun,OS,In Use,GRID,Oye Oke Block Industry,4.88842333327028,8.00803833320259
43,0d6407a8-cc86-40fa-8d7d-c2bb849906cc,36609,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ejigbo 1,OSSILA08,Ila,30017,Osun,OS,In Use,GRID,Gari Industry Oke Omifunfunila Orangun,4.89055833280088,8.00901333319882
44,69766aed-840a-456e-b7ee-061137d94047,36610,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ede,OSSILA07,Ila,30017,Osun,OS,In Use,GRID,Ola Oluwa Block Industry Ita Baba,4.89991499987741,8.00078499962808
45,38a0fec9-e2a3-4e33-9df9-b10aa1873910,36611,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ede,OSSILA07,Ila,30017,Osun,OS,In Use,GRID,Sukuralilahi Block Industry Ita Baba,4.89957666682977,7.99798500000782
46,1ffeaa61-b11d-4ea2-98ce-46861847d537,36612,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ede,OSSILA07,Ila,30017,Osun,OS,In Use,GRID,Cassava Processing Sibesibe,4.89910999962683,7.99565333313484
47,d6e8dc8e-dc5b-4d16-bd81-b7b6420c061c,36613,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Isedo 2,OSSILA06,Ila,30017,Osun,OS,In Use,GRID,Oluwafemi Block Industry,4.92683666667887,8.02167833268896
48,b32e3e12-b0d8-41cf-9e28-1814eea932f4,36614,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Isedo 2,OSSILA06,Ila,30017,Osun,OS,In Use,GRID,Ola Oluwa Block Industry,4.92410833313312,8.02134499987187
49,2179db84-995a-4574-8042-21099aedc861,36615,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obalufon,OSSADE10,Ayedade,30001,Osun,OS,In Use,GRID,Onibepe Oil Factory,4.39150166686846,7.26924833274438
50,413db893-0cb4-40c9-8c97-1b7a199d6292,36616,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iperin / Eyindi,OSSILA04,Ila,30017,Osun,OS,In Use,GRID,Palm Oil Industry 1G,4.88785999973925,8.02390166722819
51,a93819bd-9809-40f9-ba57-4730d74fb2a3,36617,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iperin / Eyindi,OSSILA04,Ila,30017,Osun,OS,In Use,GRID,Garon Industry Gari Industry,4.8842549998684,8.02513166729267
52,9eba590c-6644-4867-84a9-df468a012034,36618,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ejigbo 1,OSSILA08,Ila,30017,Osun,OS,In Use,GRID,Jaye Block Industry,4.88154166701435,8.00649833323155
53,67bb4e3b-900b-4abd-be2d-6e5ae347927f,36619,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Fiditi / Ikire J,OSSIRE04,Irewole,30021,Osun,OS,In Use,GRID,Ayetoro Palm Oil Factory,4.27433666690371,7.34997999977719
54,c0d8ec20-6798-48b9-8b34-93efbc4b0cbe,36620,2/2/2018 12:00:00 AM,racheal.olarewaju, ,College / Egbada Road / Isale Offa,OSSBOE04,Boripe,30006,Osun,OS,UnUsed Poor,GRID,Osun State Cassava Processing,4.67927499994136,7.88369333308088
55,3e235103-99e0-4a8c-a0b2-bed09e53822e,36621,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Atoba / Ikire A,OSSIRE03,Irewole,30021,Osun,OS,In Use,GRID,Oke Alaga Palm Oil Production Factory,4.2724550000982,7.35037166711879
56,7a2d2b85-36bf-4bb1-9d7d-8f524133adce,36622,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Atoba / Ikire A,OSSIRE03,Irewole,30021,Osun,OS,In Use,GRID,Olunlade Palm Oil Industry,4.26735333318982,7.34745666669187
57,ef081afd-69f6-4c77-aa58-3d6693be66cc,36623,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obalufon,OSSADE10,Ayedade,30001,Osun,OS,In Use,GRID,Pram Oil D15,4.36855499991339,7.31770333334219
58,d15befa9-3b1a-49cd-8046-722100c937c3,36624,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Obalufon,OSSADE10,Ayedade,30001,Osun,OS,In Use,GRID,Pram Oil Factory 7P,4.36593833338742,7.30673999955138
59,d93c0e26-a6ac-42cd-929c-06ccd8411f71,36625,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Atoba / Ikire A,OSSIRE03,Irewole,30021,Osun,OS,In Use,GRID,Bodude Palm Kernel Industry,4.23629166702688,7.35831500013717
60,cb1e62c3-509e-41f0-b985-4ef055d6cbc9,36626,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Atoba / Ikire A,OSSIRE03,Irewole,30021,Osun,OS,In Use,GRID,Bodude Palm Oil Factory,4.23552833326602,7.35815166706584
61,6ce0a14e-47cf-48f8-a448-987f8d264224,36627,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oyere 1,OSSINH08,Ife North,30013,Osun,OS,In Use,GRID,Palm Oil Factory P21,4.40436666658843,7.34056833286235
62,b16f7989-da90-4bdc-b359-8bd911d0b0cb,36628,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ogi / Ada 2,OSSBOE07,Boripe,30006,Osun,OS,In Use,GRID,Erinwo Palm Oil Factory,4.69973500007023,7.879368333282
63,7bd047e9-32ae-47de-a40b-4187faf06d4e,36629,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ogi / Ada 2,OSSBOE07,Boripe,30006,Osun,OS,In Use,GRID,Omodo Palm Oil Processing Industry,4.70004333263375,7.86187666697464
64,2436622a-f6e6-488c-bafe-145677be9dec,36630,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ogi / Ada 2,OSSBOE07,Boripe,30006,Osun,OS,In Use,GRID,Olukoro Palm Oil Processing Industry,4.70485666700165,7.84644333299349
65,b4b05301-e4ce-43ad-b850-a4c8788d8618,36631,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ijugbe / Amola,OSSADE04,Ayedade,30001,Osun,OS,In Use,GRID,Oil Processing Factory P24,4.4360633332563,7.61677666680976
66,f3b2de14-710e-4d20-8fb7-88e2ec32ea90,36632,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke-Aree,OSSBOE08,Boripe,30006,Osun,OS,In Use,GRID,Timo Block Industry,4.73996859997095,7.94168640030716
67,595b1766-38a0-484e-9122-ef0ed4854039,36633,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ede,OSSILA07,Ila,30017,Osun,OS,In Use,GRID,Oluwalogbon Block Idustry,4.9008116671248,8.00794666710505
68,51dea164-c18a-4458-b992-d1d60f3443a5,36634,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Ejigbo 2,OSSILA09,Ila,30017,Osun,OS,In Use,GRID,Quarry Industry,4.89056500037452,7.96768666670636
69,a3371615-b584-4b8f-ac67-353086e40acf,36635,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke-Aree,OSSBOE08,Boripe,30006,Osun,OS,In Use,GRID,Segesther Block Industry,4.74146666725295,7.94100333283757
70,7eb08128-982e-465e-b21b-5dde10329670,36636,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke-Aree,OSSBOE08,Boripe,30006,Osun,OS,In Use,GRID,Ariyo Block Industry Eripa,4.74903192258523,7.93830905481906
71,8b5cb48b-45db-4c23-bb17-e843b28f24fa,36637,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke-Aree,OSSBOE08,Boripe,30006,Osun,OS,In Use,GRID,Ariyo Gari Industry,4.74868332287707,7.9383166747748
72,33318ff5-9ed7-4bae-9d72-5cb2ac7a474b,36638,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okua / Ekusa,OSSODN10,Odo Otin,30025,Osun,OS,In Use,GRID,Ojunla Palm Oil Factory Ekosin Osun State,4.610775000366,8.01830499997584
73,39412552-4915-4850-9f67-c2965c4be5c3,36639,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Faji / Opete,OSSODN05,Odo Otin,30025,Osun,OS,In Use,GRID,Ojo Ibukun Block Industry Iyeku Road Ekosin,4.61015268659725,8.03102571516467
74,6f5abf6e-57d1-4737-a64b-b62eed87ce77,36640,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Faji / Opete,OSSODN05,Odo Otin,30025,Osun,OS,In Use,GRID,Fele Block Industry,4.62366666678332,8.0102316672577
75,e32f39b1-34be-43a1-9665-c7f133d78c3c,36641,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Sekona,OSSESH10,Ede South,30008,Osun,OS,In Use,GRID,Palm Oil Processing Factory Olusigi,4.47520333326725,7.6338099999316
76,883319e1-e739-4c1e-b194-75f619b632a3,36642,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Sekona,OSSESH10,Ede South,30008,Osun,OS,In Use,GRID,Palm Oil Processing Factory Alemo A,4.47751500011719,7.64048500018265
77,ea46c2e6-39f7-40c5-a44c-e46a495fd13e,36643,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Sekona,OSSESH10,Ede South,30008,Osun,OS,In Use,GRID,Gari Processing Factory Alemo,4.4777740840068,7.6403111711237
78,f9c57eb6-2a34-48b2-a152-47661a9d16e6,36644,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Sekona,OSSESH10,Ede South,30008,Osun,OS,In Use,GRID,Palm Oil Processing Factory Alemo B,4.47817339558577,7.64061142777524
79,0ddec894-03ed-4d2d-9122-b357792be41b,36645,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ekosin / Iyeku,OSSODN03,Odo Otin,30025,Osun,OS,In Use,GRID,Akori Palm Oil Industry,4.56316333272167,8.01750833284336
80,97512711-cdc0-4af9-b2c5-5c5710d62237,36646,2/2/2018 12:00:00 AM,racheal.olarewaju, ,College / Egbada Road / Isale Offa,OSSBOE04,Boripe,30006,Osun,OS,In Use,GRID,Palmoil Factory,4.67109833332148,7.8770666668932
81,d7502a9d-4f23-4d43-ae87-6f8e3336a30f,36647,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Omi,OSSBOLUW08,Boluwaduro,30005,Osun,OS,In Use,GRID,Adetola Palm Oil Produce Industry,4.80337000022536,7.95872499985893
82,145cce79-3c47-49ae-a391-56e7004df641,36648,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Omi,OSSBOLUW08,Boluwaduro,30005,Osun,OS,In Use,GRID,Ola Iya Block Industry,4.80140166665365,7.95565333303495
83,e5d3c816-4ba8-44d7-b0ef-1504213c3042,36649,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ido Osun,OSSEDE06,Egbedore,30009,Osun,OS,In Use,GRID,Cocoa Products Industry Ofatedo Road,4.4592366671385,7.7579783327339
84,88e87335-fe3a-493d-814b-bf211d70202e,36650,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Faji / Opete,OSSODN05,Odo Otin,30025,Osun,OS,In Use,GRID,Eku Alaga,4.65403000038424,8.01487166719374
85,6e87a34e-d3cb-47fa-8776-74ce18596912,36651,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Awo,OSSEDE04,Egbedore,30009,Osun,OS,In Use,GRID,Palm Oil Processing Farm,4.42589666659791,7.80977166712876
86,05561d7f-5be0-42cd-a67a-d0834e5730d3,36652,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Omi,OSSBOLUW08,Boluwaduro,30005,Osun,OS,In Use,GRID,Gold Block Industry,4.80534000024085,7.95894666655545
87,68656569-9f24-4421-aa2d-fa103b47dd1f,36653,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Omi,OSSBOLUW08,Boluwaduro,30005,Osun,OS,In Use,GRID,Akerekete Block Industry,4.80785500020812,7.96186666721297
88,949cd7d1-12fd-442a-a2c6-402096a8dd8f,36654,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Omi,OSSBOLUW08,Boluwaduro,30005,Osun,OS,In Use,GRID,Block Industry Ogo Oluwa,4.80887999981218,7.96360500007074
89,15f916a8-dbd4-4534-9d32-c3ac72c474d4,36655,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Omi,OSSBOLUW08,Boluwaduro,30005,Osun,OS,In Use,GRID,Elepo Palm Oil Processing Industry,4.80945666669186,7.96747833335843
90,683b6ef3-aaa5-40c4-aefa-ea86393402dd,36656,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Baale Okuku,OSSODN02,Odo Otin,30025,Osun,OS,In Use,GRID,Palm Oil Processing D25,4.67250833269344,8.01239333258627
91,245df6d2-db81-447a-a098-14b504752421,36657,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Idundu-Anyaganse,CRSKTA10,Akpabuyo,9003,Cross River,CR,In Use,GRID,Ekpri Ikot Effio Oil Mill,8.48223500024511,4.99604500017665
92,81939fed-f81a-4bad-a596-44553f5d0495,36658,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang South,CRSKTA03,Akpabuyo,9003,Cross River,CR,In Use,GRID,Ikot Eyo Elders Forum Oil Mill,8.52089499970452,4.89649333310086
93,54a3094c-2202-4583-9f22-63146c195b58,36659,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang South,CRSKTA03,Akpabuyo,9003,Cross River,CR,In Use,GRID,Ikot Eyo Peoples Oil Mill,8.52033333261727,4.90233833284782
94,7959cd46-1d43-40c4-aa84-0ed3d8acc93b,36660,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang North,CRSKTA01,Akpabuyo,9003,Cross River,CR,In Use,GRID,Akwa Ikot Eyo Oil Mill,8.51654999988261,4.90836166725717
95,1e0ed6ee-d60d-416a-860d-f8f00267ab35,36661,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang Central,CRSKTA06,Akpabuyo,9003,Cross River,CR,UnUsed Good,GRID,Oil Palm Milling Factory,8.4977366997889,4.87449999967527
96,368f3019-e696-46df-8ea4-bab76982de2f,36662,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ward 7,CRSANA07,Calabar South,9009,Cross River,CR,In Use,GRID,University Of Calabar Table Water Factory,8.33799669968801,4.93058999982867
97,b58fb7a9-2b75-4ec4-8e10-b2d71d046ae1,36663,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang Central,CRSKTA06,Akpabuyo,9003,Cross River,CR,In Use,GRID,Idebe Community Oil Meal Factory,8.45427999982218,4.86127666688469
98,cc970ce7-2f2c-46e4-a2db-a24da527de31,36664,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang Central,CRSKTA06,Akpabuyo,9003,Cross River,CR,In Use,GRID,Edet Palm Oil Processing Factory,8.46777499981641,4.87236500014467
99,48bd6b13-5b33-497f-adf5-d3b7956e4742,36665,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang Central,CRSKTA06,Akpabuyo,9003,Cross River,CR,In Use,GRID,Mia Estate Oil Palm Processing Factory,8.46465830034032,4.87086669993829
100,4fc7d857-aea2-4d7e-a591-d683650df08a,36666,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang Central,CRSKTA06,Akpabuyo,9003,Cross River,CR,In Use,GRID,Chief Anthony Brono Effa Palm Oil Processing Factory,8.46151170020482,4.86887169966923
101,d25e2a19-b10d-46f6-a7bd-772430949377,36667,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang Central,CRSKTA06,Akpabuyo,9003,Cross River,CR,In Use,GRID,Salo Palm Oil Plantation,8.44159329969108,4.85992669995727
102,d55a6c00-17f0-4d42-9bab-29a4f42060c5,36668,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikang Central,CRSKTA06,Akpabuyo,9003,Cross River,CR,In Use,GRID,Asuquo Palm Oil Mill,8.4412667000982,4.86058829971029
103,f39ffa5c-0254-4695-86f2-0475c29b7c17,36669,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikot Eyo,CRSKTA08,Akpabuyo,9003,Cross River,CR,In Use,GRID,Johnnysco Oil Palm Factory,8.47388330037404,4.9198649998699
104,5c63bf26-4a32-4ac7-9c51-8d902470ec4b,36670,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Atimbo West,CRSKTA05,Akpabuyo,9003,Cross River,CR,In Use,GRID,High Chief Etinyin Etim Palm Oil Factory,8.45637329958817,4.92607829987367
105,010c3dde-ae39-4242-af8c-be888a42d6d9,36671,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ataoja 2 / B,OSSOSO04,Osogbo,30030,Osun,OS,In Use,GRID,Block Industry 7,4.548480000052,7.74504666717002
