FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,fctry_st_s,source,fctry_st_n,x,y
6822,08107fb0-45f5-4487-81e1-8a116cad267d,28224,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ojoo,OYSAKE09,Akinyele,31002,Oyo,OY,In Use,GRID,Daimomd,3.94945666679178,7.5044033329475
6823,766c31a2-9cf7-48b5-ba2f-539e6fec4ba4,28223,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ojoo,OYSAKE09,Akinyele,31002,Oyo,OY,In Use,GRID,Oluseyi Blocks,3.94928666704607,7.50424500010672
6824,30d99f93-ffa4-4220-8b27-81ce9f527d50,28222,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ojoo,OYSAKE09,Akinyele,31002,Oyo,OY,In Use,GRID,TBL Block Industry,3.94606000026886,7.50303333272217
6825,c5e63eb7-9326-419a-b046-dba645e189f1,28221,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Aroro,OYSAKE03,Akinyele,31002,Oyo,OY,In Use,GRID,Orisuminare Block Industryy,3.95324499975698,7.52099666736234
6826,098dc91f-228d-41bb-a8a0-b27ea2c108d1,28220,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Onidundun,OYSAKE12,Akinyele,31002,Oyo,OY,In Use,GRID,Palm Oil Processing Factory Elewode Village,3.93293999958138,7.62170333284257
6827,709e57ab-c601-4bf8-94be-dc1b6e6ea661,28219,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Onidundun,OYSAKE12,Akinyele,31002,Oyo,OY,In Use,GRID,Local Palm Oil Processing Factory,3.93787499963156,7.62075166665613
6828,76a728f4-6228-40f4-9dfe-1bf8e18ff72d,28218,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikereku,OYSAKE05,Akinyele,31002,Oyo,OY,In Use,GRID,Talontan Local Palm Oil Processing Factory,3.954866667163,7.62497166700888
6829,2bb1c4c4-ccb5-4d0a-b4ac-5d0b4f1ab109,28217,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Asipa 3,OYSATA09,Atiba,31003,Oyo,OY,In Use,GRID,Cassava Factory,3.93474166719426,8.00708000034177
6830,321eb64c-03c6-4b69-ba73-3bd9449d9a73,28216,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Asipa 3,OYSATA09,Atiba,31003,Oyo,OY,In Use,GRID,Garri Processing Factory,3.90452999975975,8.04280999958189
6831,a76322b6-c98f-4ae6-98dc-ec589b1f3b4d,28215,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Idi Ose,OYSONA08,Ona Ara,31026,Oyo,OY,In Use,GRID,Oloya Block Industry,3.98182999955486,7.32874833276941
