FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,category,alt_name,source,poi_name,x,y
2195,7da75543-011f-4781-be96-52573cc28802,14787,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Oba-Oke,OSSOLA05,Olorunda,30027,Osun,OS,State Government, ,GRID,Osun State Government Mini Water Scheme,4.60786833305718,7.85884500019665
2196,313cbeaa-8997-4078-ab03-141fce8d9cc5,14788,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Popo,OSSEGO10,Ejigbo,30010,Osun,OS,State Government, ,GRID,Veterinary Clinic Oko Road,4.3167433328386,7.91936000026385
2197,f0840881-8e3f-45a8-8289-94f806b9947d,14789,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ataoja 4,OSSOSO06,Osogbo,30030,Osun,OS,State Government, ,GRID,Osun State Corporate Credit Union League,4.51242333287058,7.7272149995726
2198,68ea5455-9746-46d6-b690-a44328f9a32c,14790,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ataoja 4,OSSOSO06,Osogbo,30030,Osun,OS,State Government, ,GRID,SUBEB Conference Hall,4.51843833326251,7.73357000035526
2199,aeccd430-f4bf-400e-b91c-fcbb62323ced,14791,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ataoja 4,OSSOSO06,Osogbo,30030,Osun,OS,Federal Government, ,GRID,Federal Character Commission,4.51715333335972,7.73396666702808
2200,673ed2eb-ec8f-4d63-aeef-2db1c0408f7b,14792,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ataoja 4,OSSOSO06,Osogbo,30030,Osun,OS,State Government, ,GRID,Omoluabi Holdings,4.51582833341092,7.73432333275565
2201,b7041c27-367b-4e0c-8f2b-db91c6d087c2,14793,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ataoja 4,OSSOSO06,Osogbo,30030,Osun,OS,Federal Government, ,GRID,Nigeria Television Authority,4.51842666725696,7.736820000043
2202,078e8b2b-17fe-418b-a1e6-1e6df2219249,14794,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ataoja 4,OSSOSO06,Osogbo,30030,Osun,OS,State Government, ,GRID,Osun State House Of Assembly,4.51917833321357,7.74082166658667
2203,ec35811a-1afa-4483-91ea-94cd00f43ebf,14795,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ataoja 4,OSSOSO06,Osogbo,30030,Osun,OS,Federal Government, ,GRID,Nigeria Costom Service,4.51379666688274,7.73395333278012
2204,96cba0dc-cfa5-4a36-b632-63be8ef40c61,14796,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ataoja 4,OSSOSO06,Osogbo,30030,Osun,OS,Local Government, ,GRID,Customary Court Abere Ede,4.51423166715779,7.73350500005574
2205,273c5679-013a-4cbf-bce0-ecd3ffd64492,14797,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ataoja 4,OSSOSO06,Osogbo,30030,Osun,OS,Federal Government, ,GRID,News Agency Of Nigeria,4.51007833264896,7.7278316673976
2206,0636994f-53f4-4b86-9087-5e8c60e76857,14802,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Atile,OSSIRE02,Irewole,30021,Osun,OS,Federal Government, ,GRID,Federal Government Building,4.18323500009524,7.40125166713079
2207,7a8bf3f0-17ba-4cec-bafc-a4648801f208,14810,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Iresi 1,OSSBOLUW05,Boluwaduro,30005,Osun,OS,State Government, ,GRID,Screem House,4.85194500006173,7.93883166704785
2208,7343beaf-5c36-4a28-8844-31e77b8af274,14900,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Alekuwodo,OSSOSO02,Osogbo,30030,Osun,OS,State Government, ,GRID,The Garden Estate,4.54985999983916,7.79069333323082
2209,daabf9e2-1d4a-4071-8138-4cc96eb09b19,14811,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ido Osun,OSSEDE06,Egbedore,30009,Osun,OS,State Government, ,GRID,Osun State Judiciary District Customary Court,4.47660333307743,7.81466333334623
2210,642addf5-acde-4904-bc63-98a319fc773e,14814,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Iba 1,OSSIDN05,Ifelodun,30016,Osun,OS,Local Government, ,GRID,Iba Library Osun State,4.70320833289827,7.97097499999632
2211,f8d63ad0-c728-4493-9b88-a22dee4449bd,14815,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Isale Osolo,OSSEGO06,Ejigbo,30010,Osun,OS,Federal Government, ,GRID,Ejigbo Post Office,4.31527333339767,7.90978666672135
2212,676b388a-699e-4a77-b17a-cdd0becb29e4,14818,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Olorunsogo / Offatedo,OSSEDE10,Egbedore,30009,Osun,OS,Local Government, ,GRID,Customary Court B,4.51750000042472,7.83173500007024
2213,011e8e0f-f207-401a-a249-2e01c0166e8e,14819,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Olorunsogo / Offatedo,OSSEDE10,Egbedore,30009,Osun,OS,Local Government, ,GRID,Egbedore Administrative Office,4.51737333271319,7.83150500025562
2214,7779b47d-4591-4124-a7c7-611cd53b7dec,14820,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Araromi / Owu,OSSADE01,Ayedade,30001,Osun,OS,State Government, ,GRID,Cooperative Farm Settlement Building Site 2,4.35368000013193,7.14097166660918
2215,0614aeb4-a00e-49f7-a5f6-d18f01669110,14821,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Esa Odo,OSSOBN01,Obokun,30024,Osun,OS,State Government, ,GRID,Staff Quarter,4.83769000009346,7.73607333341766
2216,e2d66a8e-22a7-4263-b0f7-0bc16e5cd831,14822,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Esa Odo,OSSOBN01,Obokun,30024,Osun,OS,State Government, ,GRID,Agric Building,4.83712666656248,7.73628499965304
2217,2b45f9fa-fd57-475d-9359-a25950ffac20,14824,2/27/2019 12:00:00 AM,nuraddeen.isah, ,Ayepe,OSSOSO07,Osogbo,30030,Osun,OS,Federal Government, ,GRID,Federal Ministry Of Industry Trade And Investment Development Center,4.57084833278435,7.74981999969327
