FID,OBJECTID,latitude,longitude,global_id,ward_code,ward_name,lga_code,lga_name,state_code,state_name,poi_file_n,uniqueID,x,y
29,30,7.628733333,4.172783333,7e044a05-0b0b-4722-8280-131d5f80ef2c,OSSIWO01,Gidigbo 1,30023,Iwo,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30023_OSSIWO01_30,4.1854266668073,7.36083999966633
30,31,8.026973333,4.677668333,05fc67d4-b909-4a60-bde6-1fa0cd7046ef,OSSODN09,Oba/Ojomo,30025,Odo Otin,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30025_OSSODN09_31,4.17278333288453,7.62873333327678
31,32,7.785898333,4.544845,f9700f6f-61ed-4845-ab32-708dcfd02650,OSSOSO02,Alekuwodo,30030,Osogbo,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30030_OSSOSO02_32,4.67766833322702,8.02697333315285
32,33,7.732816667,4.515828333,364a37e5-8599-4ac6-bb9f-1d204dce8f9f,OSSOSO06,Ataoja Iv,30030,Osogbo,OS,Osun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OS_30030_OSSOSO06_33,4.54484499969703,7.78589833334144
33,34,6.55274250392628,3.26925808333677,52a732da-f6dd-4dc9-bbbd-0ee918cd632b,LASAMO20,Egbe-Liasu,25003,Alimosho,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25003_LASAMO20_34,4.51582833341092,7.7328166670556
34,35,6.46583206012622,3.29069760130522,a795a9fd-4fee-4582-8ccb-3f3924dda704,LASAON07,Ifelodun,25004,Amuwo Odofin,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25004_LASAON07_35,3.26925808309409,6.55274250376357
35,36,6.45828801110528,3.36382730293689,0093f365-7895-4199-a235-1f60dac06767,LASAPA09,Marine Beach,25005,Apapa,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25005_LASAPA09_36,3.29069760141323,6.46583205990169
36,37,6.413013333,2.906456667,9fe998cf-f1ee-4985-88b9-fa01dcb4af38,LASBDY09,Awhanjigoh,25006,Badagry,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25006_LASBDY09_37,3.36382730278785,6.45828801058326
37,38,6.44684090130522,3.53049928497906,fe99b93b-4863-404b-9588-73c0b4609cb1,LASEOA04,Ajiran/Osapa,25008,Eti Osa,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25008_LASEOA04_38,2.9064566670416,6.41301333289903
38,39,6.51875526436833,3.39610077254733,6e9d5298-7a65-4948-9af8-6292b86e4383,LASLMD02,Abule Oja,25019,Lagos Mainland,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25019_LASLMD02_39,3.53049928531379,6.44684090088691
39,40,6.48228795457888,3.38104474933677,681f3ce0-2ee2-452a-a0a6-60d02571df54,LASLMD11,Iponri/Olaleye,25019,Lagos Mainland,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25019_LASLMD11_40,3.39610077303229,6.51875526384441
40,41,6.45140417777883,3.39425930653671,9bccfb1f-c4ef-4a12-bd30-9d41966f23b6,LASLID01,Ajele,25020,Lagos Island,LA,Lagos,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_LA_25020_LASLID01_41,3.38104474871625,6.48228795542485
41,42,6.52966666666667,2.84192333333333,816c69c9-7cb6-4c3a-b9a8-29ecad07f808,OGSIKA08,Ipokia 1,28014,Ipokia,OG,Ogun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OG_28014_OGSIKA08_42,3.3942593068216,6.45140417786058
42,42,6.52966666666667,2.84192333333333,816c69c9-7cb6-4c3a-b9a8-29ecad07f808,OGSIKA08,Ipokia 1,28014,Ipokia,OG,Ogun,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_OG_28014_OGSIKA08_42,2.84192333329526,6.52966666718299
43,1,5.1137033,7.3761233,c392e76c-f67d-456c-b5cf-d41a0d607fd9,ABSEZA05,Industrial,1001,Aba North,AB,Abia,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_AB_1001_ABSEZA05_1,7.37612330000007,5.11370330000005
44,1,5.1137033,7.3761233,c392e76c-f67d-456c-b5cf-d41a0d607fd9,ABSEZA05,Industrial,1001,Aba North,AB,Abia,Public_Emergency_Services_Fire_Station,Public_Emergency_Services_Fire_Station_AB_1001_ABSEZA05_1,7.37612330000007,5.11370330000005
