FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,plc_st_nam,x,y
397,affaceb7-de37-457c-bb98-7a8b2752674c,2824,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iloro,EKSIJO08,Ijero,13009,Ekiti,EK,GRID,Oke Owa Police Station,5.10801593598671,7.89857054069796
398,23098f62-ee0b-46d9-bb7a-ae8440677556,2823,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Igede A,EKSIPN05,Irepodun/Ifelodun,13013,Ekiti,EK,GRID,Igede Police Station,5.12299717268144,7.67808564323792
399,15580dd4-587f-4951-8801-46078b5b16ed,2822,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikole 2,EKSIKE03,Ikole,13011,Ekiti,EK,GRID,Nigeria A Divisions Police Station,5.51260254866872,7.79208600806288
400,6c8fcd3f-caf2-4623-b078-be83271158b6,2821,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke / Sasere,EKSEME08,Emure,13006,Ekiti,EK,GRID,Eporo Police Station,5.50351300092433,7.33064892760598
401,d3dbab5f-b0ee-477f-aaea-f261cefe8c83,2820,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ijero A,EKSIJO03,Ijero,13009,Ekiti,EK,GRID,Police Divisional Headquarter Ijero Ekiti,5.06581480830681,7.82531074879205
402,0f736b12-bb92-40d4-9505-5cf390240c9f,2819,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ijero A,EKSIJO03,Ijero,13009,Ekiti,EK,GRID,Area Command Police Station,5.06498609473255,7.82534741505123
403,6b929536-e589-4162-b859-48e7bd233f0f,2818,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iyin A,EKSIPN10,Irepodun/Ifelodun,13013,Ekiti,EK,GRID,Iyin Police Out Post,5.14523833318259,7.66019333255628
404,b1abd239-5940-4374-a41f-44cc04dd00e6,2817,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Erinmape 2,EKSMBA01,Moba,13015,Ekiti,EK,GRID,Oji Police Station,5.14421166713475,8.04696166674756
405,fb345f09-b5ba-4ae9-8116-239470c1c286,2816,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itapaosin,EKSOYE09,Oye,13016,Ekiti,EK,GRID,Nigerian Police Divisional Headquarters,5.37212018479875,7.80175578580094
406,dc1237d3-a595-4986-886d-b29a433af8ee,2815,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ozaa West,ABSKKE27,Ukwa West,1014,Abia,AB,GRID,Obehie Police Station,7.26150333261273,4.94539166709183
