FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,source,plc_st_nam,x,y
478,a2194257-04e5-4976-beb9-5513e20ca0e7,2655,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iperindo,OSSAME06,Atakunmosa East,30003,Osun,OS,GRID,Police Station Iperindo,4.82536166720723,7.50335333308988
479,169d16ef-38ec-4e36-b9d9-d4829ccc8b62,2651,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Isale Oba 3,OSSIWO06,Iwo,30023,Osun,OS,GRID,Security Post,4.20154490017705,7.63381800030055
480,35820b80-5812-4efe-ad2b-9097f27b5b49,2650,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Awo,OSSEDE04,Egbedore,30009,Osun,OS,GRID,Police Divisional Headquarters Awo,4.38992333329526,7.76941000017143
481,f9294df1-5b26-48f8-ac4e-cf3970478c09,2649,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Erinmo Jesa,OSSOIE04,Oriade,30028,Osun,OS,GRID,Erinmo Police Post,4.85353666698364,7.62340333299744
482,e9d982ec-81ee-4d79-afdc-cebde2e5f6f5,2648,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Moreojaja,OSSICL11,Ife Central,30011,Osun,OS,GRID,Moore Police Station,4.56679833307663,7.4916516666911
483,25970fb2-86c2-4348-9544-956d5ab634d8,2647,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Osu 2,OSSAMW10,Atakunmosa West,30004,Osun,OS,GRID,NSCDC Iloba Outpost,4.61995833301069,7.63392499983894
484,e63de19a-6680-422d-a4ce-698c84eedab1,2646,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Igbayi / Emuleke,OSSODN06,Odo Otin,30025,Osun,OS,GRID,Igbaye Police Station,4.63371999997804,8.0309566670166
485,aeaf9d1f-9c37-495a-ad8b-bec8531330b0,2644,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iloko Ijeda,OSSOIE09,Oriade,30028,Osun,OS,GRID,Police Station Iloko Ijesa,4.82002833314112,7.64724166696942
486,2e01b75b-8677-4dcb-ab43-05f76657005e,2641,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ogbon Aare,OSSISH07,Ife South,30014,Osun,OS,GRID,Police Station Alagbado,4.69582000029283,7.1795033328126
487,530ef5bd-8a8f-4894-b058-95f054c3abf0,2640,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Gidigbo 3,OSSIWO03,Iwo,30023,Osun,OS,GRID,Adeke Police Station Iwo,4.15854166716423,7.62743833291279
488,cf92482c-3ec1-40b0-ac39-4428d571ed06,2639,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Bode-Osi,OSSOUA03,Ola Oluwa,30026,Osun,OS,GRID,Nigerian Police Bode Osi,4.22575333304991,7.7555283330662
489,f4307db5-7e94-44c8-a211-3b73a40519ed,2638,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ipetu Ijesa 1,OSSOIE10,Oriade,30028,Osun,OS,GRID,Ipetu Ijesa Police Station,4.89187333318785,7.45680999978174
490,5793cac3-401e-49d8-8699-e63aab0570e9,2637,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Olorunsogo / Offatedo,OSSEDE10,Egbedore,30009,Osun,OS,GRID,Dada Estate Division,4.52171499964754,7.78704166663965
491,191781a0-4f17-41b6-a9fb-264d4896f237,2636,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Alajue 1,OSSESH01,Ede South,30008,Osun,OS,GRID,Nigeria Police Force B Division Ede,4.44995333258026,7.70350166686848
492,d085c62b-a05f-4fa8-a967-1b1973622a46,2635,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Erin Oke,OSSOIE03,Oriade,30028,Osun,OS,GRID,Police Station Erin Oke Express Way,4.88528333325928,7.5532366666389
493,1a670fed-c900-4148-a05e-d5328a76ff39,2634,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Itagunmodi,OSSAMW06,Atakunmosa West,30004,Osun,OS,GRID,NPCF Post Itagunmodi,4.64850833299323,7.53011666705061
494,0db3ecb9-ee50-4df9-b3e3-fd103f5bac04,2631,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ibokun,OSSOBN04,Obokun,30024,Osun,OS,GRID,Nigeria Police Division,4.72891666677083,7.79433333291701
495,cd71c7bb-7767-4d0b-873f-c314e30de1df,2630,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ifewara 2,OSSAMW04,Atakunmosa West,30004,Osun,OS,GRID,Police Post Iwara,4.67222500038349,7.46648166699538
496,3536d370-f848-4e8d-b542-6c98124db424,2629,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Imesi Ile,OSSOBN08,Obokun,30024,Osun,OS,GRID,Imesi Ile Police Station,4.83423166705785,7.82700666692421
497,1ac39674-e703-465c-978b-242cffb2fbf7,2628,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ara 2,OSSEDE02,Egbedore,30009,Osun,OS,GRID,Ara Police Station,4.38228499995284,7.85405999986915
498,c146be77-92aa-40c6-8f48-fcba11c16151,2627,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Esa Oke,OSSOBN02,Obokun,30024,Osun,OS,GRID,Esa Oke Police Station,4.89833833274793,7.76638666741081
499,61d5684f-b0e3-4c2f-aee1-19d1930cd65f,2626,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Songbe,OSSEGO11,Ejigbo,30010,Osun,OS,GRID,Songbe Police Post,4.31702833339091,7.7537383332575
500,22f8e1e3-3e7b-4da7-9507-81f00ffab02d,2625,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ajaba,OSSILA01,Ila,30017,Osun,OS,GRID,Nigeria Police Station Kajola Ajaba,4.90052833301621,7.91706499965005
501,8c810245-9761-4339-95b2-502ed48b3349,2624,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Gbogon Rural,OSSADE03,Ayedade,30001,Osun,OS,GRID,Odeyinka Police Station,4.36150833324302,7.32437166691892
502,31ad451b-a9a9-4321-869d-3a9ecba02561,2623,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Iyin,OSSIEW10,Ilesha West,30019,Osun,OS,GRID,The Nigerian Police Force,4.72899666686271,7.61995666686676
503,7ee98735-fb54-4c18-964a-9bc3fe11829f,2622,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ikeji Arakeji,OSSOIE06,Oriade,30028,Osun,OS,GRID,Police Station Ikeji Arakeji,4.95495333283009,7.42533333336667
504,724aca44-e491-4494-9a1d-fc099a4531b3,2621,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ogbagba 1,OSSOUA08,Ola Oluwa,30026,Osun,OS,GRID,Police Station Ogbaagbaa,4.25187666717449,7.70178333313436
505,7bf305c9-154c-42b8-ac1c-39ea4c217897,3016,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Sabo-Oniba,LASOJO14,Ojo,25015,Lagos,LA,GRID,Ajangbadi Police Station,3.16801035759198,6.46254479860363
506,e28971d9-ae1d-41a8-bf6a-e4e5f569f743,3015,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Mosafejo Ojuelegba,LASSUE14,Surulere,25018,Lagos,LA,GRID,Tejuosho Police Post,3.37076350842921,6.50912718137437
507,00bcd9a1-3e3a-4611-a73a-bfdb44537737,3014,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Okekoto,LASAGG07,Agege,25001,Lagos,LA,GRID,The Nigeria Police Station Elere Division,3.3203551218914,6.62897981696506
508,c35163c1-385b-42a7-9208-9da53020c96c,3013,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Falomo / Oyinkan Abayomi,LASEOA07,Eti Osa,25008,Lagos,LA,GRID,Nigerian Police Stationmedical Service,3.42877966844696,6.4437336730706
509,91808042-5dce-4e15-8fdc-c1c69f9d94fd,3012,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Igbokuta / Oke-Agbo / Igbalu,LASIKU14,Ikorodu,25012,Lagos,LA,GRID,Imota Police Station Ebute Ajebo Road Imota,3.66931676305819,6.65762184996845
510,6373d690-dc7a-43b2-9269-951e04fad84d,3011,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Alagomeji,LASLMD05,Lagos Mainland,25019,Lagos,LA,GRID,Sabo Police Station,3.37812050595664,6.50539425833841
511,5d0c0fa1-7278-43e4-8b00-d5823787a6a2,3010,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ajaguro,LASIKU06,Ikorodu,25012,Lagos,LA,GRID,Rofo Police Post,3.5014177752102,6.65485164129024
512,05b45f69-99b9-4fe3-a8b0-1909990cdc26,3009,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Lafiaji,LASLID12,Lagos Island,25020,Lagos,LA,GRID,Kam Salem House Nigeria Police Hqts Annex,3.40696407523194,6.4492280190579
513,05c4af0c-b25a-4c1b-9f62-bacdd9600332,3008,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Araromi Odo,LASLID04,Lagos Island,25020,Lagos,LA,GRID,Zone 2 Police Officer Mess Police Mini Market,3.4029970235938,6.44192196272843
514,2bc05d11-2feb-4442-90e1-1bc9398c8360,3007,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Anjorin,LASAPA04,Apapa,25005,Lagos,LA,GRID,Apapa Police Station,3.36735633872411,6.45008931057328
515,b8072ba1-6aed-46a5-b194-e04e2335bc06,3005,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Lekki 1,LASIUI06,Ibeju Lekki,25009,Lagos,LA,GRID,Lekki Police Post,4.09528759204881,6.41447373387575
516,68d4d1e1-da29-49a6-b6c2-220fe3e8f30d,3004,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ibereko,LASBDY11,Badagry,25006,Lagos,LA,GRID,Area K Police Station,3.03889482543588,6.48373826420959
517,dbf5fb6f-6880-4d5a-9d09-242ce570ac3a,3003,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Aralile,LASSUE05,Surulere,25018,Lagos,LA,GRID,Anti Kidnapping Police Post Hogan Basset Crescent,3.36419066306871,6.50264022666516
518,5368c400-bdc0-4fc5-8cbe-7f80f5601563,3002,2/2/2018 12:00:00 AM,racheal.olarewaju, ,G R A,LASIKA06,Ikeja,25011,Lagos,LA,GRID,Ikeja Area f Command,3.34506200490767,6.58969711612906
519,febb7657-fea8-4fdb-a774-eb5560472b31,3001,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Orimedu 2,LASIUI09,Ibeju Lekki,25009,Lagos,LA,GRID,Eleko Police Post,3.85376443308218,6.44117246143998
520,98b6949d-e156-49bd-9683-6fb54af3aa9e,3000,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Odo-Ogun / Ajegunle,LASKSE14,Kosofe,25013,Lagos,LA,GRID,Owode Onirin Police Station,3.41508322930764,6.60640461588036
521,347836b2-b155-40b1-8f86-45414b3e617b,2999,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Jegba Quarters,LASBDY16,Badagry,25006,Lagos,LA,GRID,Badagry Divisional Police,2.89293940702805,6.41267294130324
522,ddc05a46-96c4-474b-8999-6cb8c6ff49f4,2998,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Abosan,LASIKU01,Ikorodu,25012,Lagos,LA,GRID,Police Mobile Force No 63 Pmf Squadron,3.51800273963477,6.58969548026226
523,988588f0-93a0-4f4c-a839-2b4ad5a6c893,2996,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ilado Tomaro,LASAON09,Amuwo Odofin,25004,Lagos,LA,GRID,Igbologun Station,3.33284338571372,6.42544535761721
524,fd127244-c04a-4ec4-9764-4a98d0a1f158,2995,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Owoyemi,LASATO14,Ajeromi/Ifelodun,25002,Lagos,LA,GRID,Layeni Police Station,3.32780666694418,6.46107068926096
525,8891b126-960d-42e1-8909-bf335c4c9ea2,2994,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oduduwa,LASAPA10,Apapa,25005,Lagos,LA,GRID,Alayabiagba Police Station,3.35183333334169,6.45451000003652
526,0b8cec06-33a2-4308-85d9-3e818229636f,2993,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Iponri  /  Eric Moore,LASSUE11,Surulere,25018,Lagos,LA,GRID,Bode Thomas Police Station,3.35795431074291,6.48920920623993
527,1655d282-4388-4846-98c3-3193b1a476b8,2992,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Egbe-Liasu,LASAMO20,Alimosho,25003,Lagos,LA,GRID,Ikotun Divisional Hq,3.26886773955459,6.55146897021683
528,c46c63d3-d663-49d2-a398-b96f982607f9,2991,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ailegun,LASOIO03,Oshodi/Isolo,25016,Lagos,LA,GRID,Ashamu Police Station,3.2947524871376,6.52570561132495
529,4790fa73-c580-42bd-b5d2-b591b3690718,2990,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Onilekere,LASIKA13,Ikeja,25011,Lagos,LA,GRID,Police Post,3.33515128260564,6.58975493893934
530,6bec6462-4255-4251-848e-a5c2da528453,2989,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Opebi,LASIKA14,Ikeja,25011,Lagos,LA,GRID,NPF Police B Department Ikeja HQ Annex,3.35501455467801,6.59020204229046
531,eb10e799-6ec5-43d5-bcc6-2f380047da78,2988,2/2/2018 12:00:00 AM,racheal.olarewaju, ,G R A,LASIKA06,Ikeja,25011,Lagos,LA,GRID,Lagos State Police Command,3.34410112606616,6.58559966009631
532,33cf65ac-dcc2-41c8-aee5-abce24d8158c,2488,2/2/2018 12:00:00 AM,najib.adam, ,Ketu,OGSADO12,Ado Odo/Ota,28003,Ogun,OG,GRID,Ketu Adie Owe Station,3.07492757424819,6.5970209997194
533,1cdc3754-d5fd-491e-bd59-7c300c885657,2482,2/2/2018 12:00:00 AM,najib.adam, ,Totoro 2,OGSABN14,Abeokuta North,28001,Ogun,OG,GRID,Lafenwa,3.3301683334019,7.15588772493862
534,15b950ce-7009-4666-b595-8ab1f5f2beec,2481,2/2/2018 12:00:00 AM,najib.adam, ,Obantoto,OGSODA05,Odeda,28016,Ogun,OG,GRID,The Nigerian Police Divisional Head Qrts,3.39167666704458,7.17802500025363
535,5458d94d-5990-43a8-bcd3-14f298d99c66,2480,2/2/2018 12:00:00 AM,najib.adam, ,Imushin 1,OGSIUU07,Ijebu East,28008,Ogun,OG,GRID,The Nigerian Police Ilese Division,3.96529296989468,6.80208272823535
536,2d505fe6-2044-4f31-b614-1d102b2b7019,2479,2/2/2018 12:00:00 AM,najib.adam, ,Porogun 2,OGSIUE11,Ijebu Ode,28011,Ogun,OG,GRID,Obalende Divisional Police Headquarters,3.90567575942879,6.83166512834305
537,4fcaa5b2-feb6-4655-b695-187cc3f8b949,2477,2/2/2018 12:00:00 AM,najib.adam, ,Owode 1,OGSYES10,Yewa South,28005,Ogun,OG,GRID,Owode Police Station,2.97514563126595,6.69769621320972
538,c9c1e980-2927-4707-b022-9af7ef8bc521,2476,2/2/2018 12:00:00 AM,najib.adam, ,Ibara 1,OGSABS05,Abeokuta South,28002,Ogun,OG,GRID,The Nigeria Police Force State Traffic Division,3.3396233332503,7.14171999967829
539,3a231157-183a-4a21-a5d6-78de3ab1b78b,2474,2/2/2018 12:00:00 AM,najib.adam, ,Imushin 2,OGSIUU08,Ijebu East,28008,Ogun,OG,GRID,The Nigerian Police Isonyin Police Post,3.98804459278375,6.83284648138005
540,d60d41f6-2cba-4902-a34e-53107aead72e,2473,2/2/2018 12:00:00 AM,najib.adam, ,Egbeda,OGSOBE04,Obafemi Owode,28015,Ogun,OG,GRID,Police College,3.39852253758511,7.09096436601271
541,e062cc7f-3bb4-4ddf-8238-d192108ba617,2472,2/2/2018 12:00:00 AM,najib.adam, ,Laminga,NASNSW05,Nasarawa,26009,Nasarawa,NA,GRID,Nahuche Police Station Zakun Bello Road Laminga,7.81067333280811,8.68446833304716
542,dcd44b11-b1fd-485e-bf17-e4074c050b78,2471,2/2/2018 12:00:00 AM,najib.adam, ,Assakio,NASLFA06,Lafia,26008,Nasarawa,NA,GRID,The Nigeria Police Station Assakio,8.85129932020749,8.59778994664879
543,d94f3c40-81b7-4a08-9120-ff44b7e75119,2470,2/2/2018 12:00:00 AM,najib.adam, ,Tunga Bakono,NASNSW15,Nasarawa,26009,Nasarawa,NA,GRID,Police Outpost Ajaga,7.6036665370811,8.34544362222545
544,a47a6279-7ac5-4407-88fb-1f17a05d4e96,2469,2/2/2018 12:00:00 AM,najib.adam, ,Owode,OGSOBE12,Obafemi Owode,28015,Ogun,OG,GRID,Owode Egba Police Area Command,3.49592109997883,6.92717119969114
545,a1d4de57-3eb1-4fcf-b790-55a6ec54c7f4,2467,2/2/2018 12:00:00 AM,najib.adam, ,Sabo 1,OGSABN11,Abeokuta North,28001,Ogun,OG,GRID,Lafenwa Divisional Headquarters,3.32552833256653,7.15583500038503
546,e2312099-fb25-449d-9403-2b6d775c4bd7,2466,2/2/2018 12:00:00 AM,najib.adam, ,Ogbere,OGSIUU10,Ijebu East,28008,Ogun,OG,GRID,Ogbere Divisional Headquarters,4.16709012880642,6.73860826256134
547,97bf2595-d297-47b8-93e3-78adac370e2e,2465,2/2/2018 12:00:00 AM,najib.adam, ,Ogbere,OGSIUU10,Ijebu East,28008,Ogun,OG,GRID,Ogbere Area Command Headquarters,4.16521489665018,6.7390054904111
548,74dd2daf-ed2e-4d5b-ae30-3e611b45a5d4,2464,2/2/2018 12:00:00 AM,najib.adam, ,Ifonyintedo,OGSIKA05,Ipokia,28014,Ogun,OG,GRID,Ifonyintedo Police Station,2.78957999961733,6.77859500035902
549,0bc7f4a2-e028-4bfd-a09e-63cae1502bc4,2463,2/2/2018 12:00:00 AM,najib.adam, ,Ibefun,OGSOGU02,Odogbolu,28017,Ogun,OG,GRID,Ibefun Town Police Post,3.79623000031432,6.7207566668867
550,5921761c-8e5e-4024-bb48-227fafb0b01e,2987,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ifako Pele,LASIOE05,Ifako/Ijaye,25010,Lagos,LA,GRID,Olowosokodile Police Post,3.32347268831398,6.65045410127578
551,3f5c7fd5-5ed9-42cd-82b1-a950d694e5a6,2986,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Ajah,LASEOA03,Eti Osa,25008,Lagos,LA,GRID,Ajah Police Station,3.57729424982983,6.46992742591004
552,ae016dc5-d429-4b3c-91e6-dd7976a0288e,2985,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Owu / Ota,LASEPE17,Epe,25007,Lagos,LA,GRID,Orugbo Police Post,3.77295380377507,6.63129378697874
553,e1c3eb97-9b4f-41d5-9bcb-01f323506f76,2984,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Pedro / Gbagada,LASSMU15,Shomolu,25017,Lagos,LA,GRID,Pedro Divisional Police Station,3.37238185014235,6.54502591591336
554,0894318d-cc54-454b-8d56-4627a35d5daf,2618,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Popo,OSSAYE10,Ayedire,30002,Osun,OS,GRID,Nigerian Police Post Oluponna,4.18953833302771,7.60540833322807
555,3ccd5d91-a7bc-4ea7-ae11-91ccea872a3a,2617,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Isale Osolo,OSSEGO06,Ejigbo,30010,Osun,OS,GRID,Nigerian Police Station Ejigbo,4.30805499963856,7.89471999982817
556,949b7ac9-47c2-4f05-b440-86b0a2984012,2616,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Oke Oba 2,OSSIWO15,Iwo,30023,Osun,OS,GRID,Idi Iroko Police Post,4.07802166726617,7.7133749998564
557,cd22b76e-5dda-49d7-9a10-b8c331b9f739,2615,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Otun Balogun,OSSADE08,Ayedade,30001,Osun,OS,GRID,Gbongan Police Station,4.37022833337096,7.47047666686473
558,603dbb1f-a78e-4751-9a42-988ccc5909b1,2614,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kwadon / Liji / Kurba,GMSYDB07,Yamaltu/Deba,16011,Gombe,GO,GRID,Police Outputs Liji,11.2316466699579,10.2767316700306
559,979b617f-433c-4c03-be0a-f5153ba2058c,2613,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Bage,GMSFKY02,Funakaye,16005,Gombe,GO,GRID,Bage Out Forces,11.3828250000738,10.9513066697671
560,1e723620-f2ad-4565-8bc3-245900d6a206,2612,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Zambuk / Kwali,GMSYDB11,Yamaltu/Deba,16011,Gombe,GO,GRID,Zambuk Police Station,11.3589716699067,10.3197016703958
561,764f65f0-c2b5-4405-9140-eed6f7f83322,2611,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kumo West,GMSAKK08,Akko,16001,Gombe,GO,GRID,Kobuwa Police Station,11.1561283296587,10.0239533301821
562,2408e5a7-cd1e-469c-8dda-a9f9dc038ac4,2610,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Shamaki,GMSGME11,Gombe,16006,Gombe,GO,GRID,Gombe Area Command,11.1622616700401,10.2994716700816
563,1230d3e4-84c1-4e2e-b3f7-798ccd660672,2446,2/2/2018 12:00:00 AM,najib.adam, ,Imala,OGSABN09,Abeokuta North,28001,Ogun,OG,GRID,Imala Division,3.13159132567921,7.27257076562836
564,515317b4-48b5-49c1-ac24-e25c31725230,2445,2/2/2018 12:00:00 AM,najib.adam, ,Imala,OGSABN09,Abeokuta North,28001,Ogun,OG,GRID,Nigeria Security And Civil Defense Corps,3.13061489126426,7.27291411329571
565,7c5d85ed-549d-47c1-add7-9c8e2c3d1814,2609,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Wange,GMSKLT09,Kaltungo,16007,Gombe,GO,GRID,Divisional Headquarter Tula,11.4725633297339,9.84606666684323
566,db96e504-526c-4eb3-ad36-509b02c05285,2608,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Tumu,GMSAKK11,Akko,16001,Gombe,GO,GRID,Tumu Police Station,11.0083883298576,10.0064933299033
567,1a4435dd-c47e-43e6-8d5e-261446336222,2607,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Wange,GMSKLT09,Kaltungo,16007,Gombe,GO,GRID,Police Station,11.5123632999264,9.83120670012914
568,326472e1-8edd-4eee-ba43-e4c96a33465d,2606,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Degri,GMSBLG04,Balanga,16002,Gombe,GO,GRID,Kulani Police Station,11.6290750002111,9.81462999957489
569,bda4973f-dff7-4b74-b4c5-63134144ac02,2605,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Hinna,GMSYDB03,Yamaltu/Deba,16011,Gombe,GO,GRID,Dadin Kowa Police Division,11.4950450004265,10.2804716698317
570,eee4b274-d770-46c9-ae71-ce90fed83375,2604,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Lubo / Difa / Kinafa,GMSYDB09,Yamaltu/Deba,16011,Gombe,GO,GRID,Nigeria Police Kinafa Outpost,11.4366383295953,10.4275600001939
571,4102eb42-0f99-4a90-98f8-e152a06cfd92,2603,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Pindiga,GMSAKK09,Akko,16001,Gombe,GO,GRID,Pindiga Police Station,10.9591183303467,9.98960666721399
572,3641edf0-6fc8-447a-b8ec-b1798a273a7e,2602,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Nyuwar / Jessu,GMSBLG08,Balanga,16002,Gombe,GO,GRID,Nyuwar Police Station,11.7525600002439,9.77923999982619
573,e9a648e1-1a79-48c7-9b09-961c1b5107bf,2601,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Marit,PLSBLD11,Barkin Ladi,32001,Plateau,PL,GRID,The Nigerian Police Outpost D Division Marit,8.99202829976628,9.47251999989811
574,edb4750c-bd98-46a8-b83e-d80400146af6,2600,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Lobring,PLSBLD10,Barkin Ladi,32001,Plateau,PL,GRID,Dorowa Police Station,8.98254330033308,9.52603669973394
575,a0e63267-c25b-4027-abb7-2669ae42d214,2599,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Jenta Adamu,PLSJJN08,Jos North,32005,Plateau,PL,GRID,Area Command Police Station Jos,8.88355850022464,9.91720700040281
576,f7a5ee47-00de-4603-bb8c-21743c5bcd47,2598,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Gangare,PLSJJN05,Jos North,32005,Plateau,PL,GRID,Gangare Police Station,8.89342333282059,9.91589666659792
577,59e82ca8-81ef-430c-b365-c205c79534c5,2597,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Moeda,PLSQAP17,Qua'An Pan,32014,Plateau,PL,GRID,Kwalla Police Rural Station Office,9.2911050002956,8.90446000002902
578,d0e0eb36-a4f8-4139-bfff-f773b3e9639a,2596,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Dengi,PLSDNG02,Kanam,32007,Plateau,PL,GRID,Dengi Police Station,9.96444830024893,9.37393000036928
579,49c6e43e-4531-4383-94c1-d8786d54bae9,2595,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Garga,PLSDNG06,Kanam,32007,Plateau,PL,GRID,Police Station,10.3139317001879,9.4998250000238
580,9a70fadf-07b1-44b0-b27b-0cd0bad552eb,2594,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kurgwi West,PLSQAP08,Qua'An Pan,32014,Plateau,PL,GRID,Nigeria Police Station Kurgwi,9.29350833324304,8.78055666685674
581,dab99a71-78d9-444a-865f-2ac5596f04e9,2593,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Mangun,PLSMGU17,Mangu,32011,Plateau,PL,GRID,Mangun Police Station,9.15441829976476,9.22273670013863
582,5267d63a-abf5-4bf5-afc7-49b91de7b069,2592,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Kabong,PLSJJN11,Jos North,32005,Plateau,PL,GRID,Alheri Police Station Jos,8.87057833332346,9.93682000014292
583,ead61577-eef9-4ca9-8fc5-d79307221186,2591,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Shendam A,PLSSHD16,Shendam,32016,Plateau,PL,GRID,The Nigeria Police Divisional Headquarters Shendam,9.54729166727668,8.8752466672999
584,55742522-1361-40c4-bdb6-73379be8fa83,2590,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Poeship,PLSSHD15,Shendam,32016,Plateau,PL,GRID,The Nigeria Police Station Pueship,9.44827999992214,8.81250499980592
585,bc92a8e9-5c81-49d6-b15e-560b6672747c,2589,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Amper C,PLSKWK04,Kanke,32008,Plateau,PL,GRID,Amper Police Outpost,9.69800833311814,9.35427499959161
586,068ca431-4348-49c1-a793-48d3ba43a0cd,2588,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Dadin Kowa,PLSMBD01,Langtang South,32010,Plateau,PL,GRID,Dadinkowa Police Station,9.87652670004724,8.75324669977545
587,790e4a90-ade2-4214-b6a0-72f0a5892bbd,2587,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Pankshin,PLSPKN15,Pankshin,32013,Plateau,PL,GRID,The Nigeria Police Force,9.43319329973104,9.32416999984565
588,c9ee813b-ba59-46ef-ba94-afdb2953719b,2586,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Abba Nashehu,PLSJJN01,Jos North,32005,Plateau,PL,GRID,Salisu Adamu Police Station,8.89273549984347,9.93431170012491
589,994bdc48-f2c8-424a-9438-ec82e3aaf09a,2585,2/2/2018 12:00:00 AM,racheal.olarewaju, ,Zabot,PLSBLD20,Barkin Ladi,32001,Plateau,PL,GRID,Bisichi Police Station,8.90716333332125,9.71516333282159
